,Title,Author,Gender of Author,Sources,Male Sources,Female Sources,url
70,New Zealand seizes $90M from Russian bitcoin fraud suspect,['nick perry'],['male'],['Andrew Coster'],1,0,https://abcnews.go.com/Business/wireStory/zealand-seizes-90m-russian-bitcoin-fraud-suspect-71378294
71,"Report: Iran arrests founder of student charity, 2 aides",[],[],['Hassan Rouhani'],1,0,https://abcnews.go.com/International/wireStory/report-iran-arrests-founder-student-charity-aides-71378328
72,Protesters daub French colonial-era statues in red paint,[],[],[],0,0,https://abcnews.go.com/International/wireStory/protesters-daub-french-colonial-era-statues-red-paint-71378463
73,"Floods hit northwest Turkey; 5 killed, 1 missing",[],[],['Suleyman Soylu'],1,0,https://abcnews.go.com/International/wireStory/floods-hit-northwest-turkey-killed-missing-71378567
74,Teen shot in Seattle protest zone declines police interview,['gene johnson'],['male'],['Jenny Durkan'],0,1,https://abcnews.go.com/US/wireStory/shooting-seattle-protest-zone-leaves-wounded-71378362
75,"Police say 2 dead, 7 wounded in Charlotte, North Carolina, shooting and 5 hit by cars afterward",[],[],[],0,0,https://abcnews.go.com/US/wireStory/police-dead-wounded-charlotte-north-carolina-shooting-hit-71378466
76,"3 dead, 6 wounded in shooting at North Carolina block party",['sarah blake morgan'],['female'],"['Katrina Cherry', 'Maliyah Cook', 'Gerald Smith', 'Myra Stewart', 'Matthew Torres']",2,3,https://abcnews.go.com/US/wireStory/police-dead-wounded-north-carolina-shooting-71378467
77,Foul play suspected in death of Fort Hood soldier after remains found in Texas field: Army,['bill hutchinson'],['male'],"['Vanessa Guillen', 'Gregory Wedel-Morales']",1,1,https://abcnews.go.com/US/foul-play-suspected-death-fort-hood-soldier-remains/story?id=71373011
78,"EU urges China to move on trade, back off in Hong Kong",[],[],"['Ursula von der Leyen', 'Charles Michel']",1,1,https://abcnews.go.com/International/wireStory/eu-china-ease-tensions-push-business-71379009
79,Syrian suspected of torture at prison arrested in Germany,[],[],[],0,0,https://abcnews.go.com/International/wireStory/syrian-suspected-torture-prison-arrested-germany-71378807
